id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
127;504;rh.caudalmiddlefrontal_11;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;411;22.239342
127;145;rh.caudalmiddlefrontal_11;rh.precentral_19;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;294;18.400002
127;131;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;327;18.400001
127;494;rh.caudalmiddlefrontal_11;rh.insula_10;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;328;17.400008
127;189;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_5;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;217;22.000011
127;505;rh.caudalmiddlefrontal_11;Right-Pallidum;9;38;ctx-rh-caudalmiddlefrontal;Right-Pallidum;264;31.949999
127;503;rh.caudalmiddlefrontal_11;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;406;16.949566
127;146;rh.caudalmiddlefrontal_11;rh.precentral_22;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;248;16.300000
127;493;rh.caudalmiddlefrontal_11;rh.insula_11;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;219;18.700003
71;82;rh.rostralmiddlefrontal_13;rh.superiorfrontal_14;7;8;ctx-rh-rostralmiddlefrontal;ctx-rh-superiorfrontal;267;13.400002
959;1013;lh.bankssts_4;Left-Hippocampus;72;81;ctx-lh-bankssts;Left-Hippocampus;356;31.565182
959;994;lh.bankssts_4;lh.insula_12;72;75;ctx-lh-bankssts;ctx-lh-insula;233;30.050008
358;359;rh.lateraloccipital_7;rh.lateraloccipital_3;23;23;ctx-rh-lateraloccipital;ctx-rh-lateraloccipital;213;12.599980
560;566;lh.rostralmiddlefrontal_13;lh.rostralmiddlefrontal_4;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;267;14.885714
560;631;lh.rostralmiddlefrontal_13;lh.caudalmiddlefrontal_1;48;50;ctx-lh-rostralmiddlefrontal;ctx-lh-caudalmiddlefrontal;224;13.705006
767;1010;lh.superiorparietal_24;Left-Putamen;59;78;ctx-lh-superiorparietal;Left-Putamen;217;47.149994
580;1010;lh.rostralmiddlefrontal_3;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;345;44.074083
580;1009;lh.rostralmiddlefrontal_3;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;227;38.199989
805;815;lh.inferiorparietal_2;lh.inferiorparietal_1;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;221;13.657143
805;816;lh.inferiorparietal_2;lh.inferiorparietal_20;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;215;12.899991
512;1010;lh.lateralorbitofrontal_3;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;230;32.842861
194;503;rh.posteriorcingulate_5;Right-Caudate;14;36;ctx-rh-posteriorcingulate;Right-Caudate;363;12.233332
517;580;lh.lateralorbitofrontal_10;lh.rostralmiddlefrontal_3;42;48;ctx-lh-lateralorbitofrontal;ctx-lh-rostralmiddlefrontal;273;30.808334
517;522;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_5;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;269;21.699999
517;578;lh.lateralorbitofrontal_10;lh.rostralmiddlefrontal_7;42;48;ctx-lh-lateralorbitofrontal;ctx-lh-rostralmiddlefrontal;275;26.055557
517;1010;lh.lateralorbitofrontal_10;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;396;16.809091
517;523;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_1;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;283;27.700014
517;521;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_8;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;332;13.955002
454;507;rh.bankssts_2;Right-Hippocampus;31;40;ctx-rh-bankssts;Right-Hippocampus;317;24.400003
634;1010;lh.caudalmiddlefrontal_3;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;290;27.892305
634;636;lh.caudalmiddlefrontal_3;lh.caudalmiddlefrontal_11;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;227;12.999997
634;637;lh.caudalmiddlefrontal_3;lh.caudalmiddlefrontal_4;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;323;13.559999
634;1009;lh.caudalmiddlefrontal_3;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;230;23.004550
31;503;rh.medialorbitofrontal_4;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;216;17.399998
578;1010;lh.rostralmiddlefrontal_7;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;336;41.087879
578;1009;lh.rostralmiddlefrontal_7;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;245;34.066655
695;1010;lh.caudalanteriorcingulate_1;Left-Putamen;54;78;ctx-lh-caudalanteriorcingulate;Left-Putamen;254;26.893335
695;1009;lh.caudalanteriorcingulate_1;Left-Caudate;54;77;ctx-lh-caudalanteriorcingulate;Left-Caudate;367;13.266667
29;504;rh.medialorbitofrontal_8;Right-Putamen;4;37;ctx-rh-medialorbitofrontal;Right-Putamen;275;23.799998
29;503;rh.medialorbitofrontal_8;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;354;14.985708
675;744;lh.precentral_28;lh.postcentral_7;51;57;ctx-lh-precentral;ctx-lh-postcentral;241;13.766665
675;738;lh.precentral_28;lh.postcentral_10;51;57;ctx-lh-precentral;ctx-lh-postcentral;256;12.156667
226;504;rh.postcentral_14;Right-Putamen;16;37;ctx-rh-postcentral;Right-Putamen;274;44.145003
58;504;rh.rostralmiddlefrontal_20;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;218;32.199997
58;60;rh.rostralmiddlefrontal_20;rh.rostralmiddlefrontal_18;7;7;ctx-rh-rostralmiddlefrontal;ctx-rh-rostralmiddlefrontal;256;14.106667
153;504;rh.precentral_32;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;301;36.679993
15;504;rh.lateralorbitofrontal_16;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;220;33.254285
76;504;rh.rostralmiddlefrontal_26;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;239;45.066676
571;590;lh.rostralmiddlefrontal_10;lh.superiorfrontal_35;48;49;ctx-lh-rostralmiddlefrontal;ctx-lh-superiorfrontal;215;13.033335
